물고기	물꼬기
많던	만턴
많지	만치
앓고	알코
앓던	알턴
앓지	알치
국화	구콰
정직하다	정지카다
박하다	바카다
박히다	바키다
읽히다	일키다
맏형	마텽
숱하다	수타다
굿하다	구타다
잊히다	이치다
얹히다	언치다
입학	이팍
급하다	그파다
입히다	이피다
밟히다	발피다
온갖 힘	온가팀
뭇 형벌	무텽벌
몇 할	며탈
밥 한 사발	바판사발
국 한 대접	구칸대접
끊습니다	끈씀니다
끊사오니	끈싸오니
놓네	논네
놓나	논나
끊는	끈는
끊네	끈네
끊나	끈나
끓는	끌른
끓네	끌레
끓나	끌라
넣은	너은
쌓을	싸을
찧으니까	찌으니까
끊은	끄는
많을	마늘
않으니까	아느니까
옳은	오른
싫을	시를
곯으니까	고르니까
쌓인	싸인
끊일	끄닐
끓이니까	끄리니까
깎아	까까
옷이	오시
있어	이써
낮이	나지
꽂아	꼬자
꽃을	꼬츨
쫓아	쪼차
밭에	바테
앞으로	아프로
덮이다	더피다
부엌이	부어키
낯을	나츨
밭의	바틔
무릎에	무르페
꺾어	꺼꺼
쫓을	쪼츨
같은	가튼
짚으면	지프면
섞여	서껴
높여	노펴
넋이	넉씨
앉아	안자
젊어	절머
핥아	할타
읊어	을퍼
값을	갑쓸
없어	업써
여덟을	여덜블
삶에	살메
읽어	일거
밟을	발블
옮은	올믄
몫이	목씨
넋을	넉쓸
곬이	골씨
외곬으로	외골쓰로
값이	갑씨
값에	갑쎄
없이	업씨
없으면	업쓰면
밭 아래	바다래
늪 앞	느밥
젖어미	저더미
맛없다	마덥따
겉옷	거돋
헛웃음	허두슴
꽃 위	꼬뒤
넋 없다	너겁따
닭 앞에	다가페
값어치	가버치
값있는	가빈는
디귿이	디그시
디귿을	디그슬
디귿에	디그세
지읒이	지으시
지읒을	지으슬
지읒에	지으세
치읓이	치으시
치읓을	치으슬
치읓에	치으세
키읔이	키으기
키읔을	키으글
키읔에	키으게
티읕이	티으시
티읕을	티으슬
티읕에	티으세
피읖이	피으비
피읖을	피으블
피읖에	피으베
히읗이	히으시
히읗을	히으슬
히읗에	히으세
곧이듣다	고지듣따
굳이	구지
미닫이	미다지
땀받이	땀바지
밭이	바치
벼훑이	벼훌치
굳히다	구치다
닫히다	다치다
묻히다	무치다
먹는	멍는
국물	궁물
깎는	깡는
키읔만	키응만
몫몫이	몽목씨
긁는	긍는
흙만	흥만
닫는	단는
짓는	진는
옷맵시	온맵씨
있는	인는
맞는	만는
젖멍울	전멍울
쫓는	쫀는
꽃망울	꼰망울
붙는	분는
놓는	논는
잡는	잠는
밥물	밤물
앞마당	암마당
밟는	밤는
읊는	음는
없는	엄는
값매다	감매다
책 넣는다	챙넌는다
흙 말리다	흥말리다
옷 맞추다	온맏추다
밥 먹는다	밤멍는다
값 매기다	감매기다
국 마시다	궁마시다
옷 마르다	온마르다
입 놀리다	임놀리다
담력	담녁
침략	침냑
강릉	강능
항로	항노
대통령	대통녕
막론	망논
백리	뱅니
협력	혐녁
십리	심니
난로	날로
신라	실라
천리	철리
광한루	광할루
대관령	대괄령
칼날	칼랄
물난리	물랄리
줄넘기	줄럼끼
할는지	할른지
닳는	달른
뚫는	뚤른
핥네	할레
갈 놈	갈롬
바람 잦을 날	바람자즐랄
감기	감기
옷감	옫깜
있고	읻꼬
꽃길	꼳낄
젖먹이	전머기
문법	문뻡
꽃밭	꼳빧
국밥	국빱
깎다	깍따
넋받이	넉빠지
삯돈	삭똔
닭장	닥짱
칡범	칙뻠
뻗대다	뻗때다
옷고름	옫꼬름
있던	읻떤
꽂고	꼳꼬
꽃다발	꼳따발
낯설다	낟썰다
밭갈이	받까리
솥전	솓쩐
곱돌	곱똘
덮개	덥깨
옆집	엽찝
넓죽하다	넙쭈카다
읊조리다	읍쪼리다
값지다	갑찌다
신고	신꼬
신다	신따
껴안다	껴안따
앉고	안꼬
닮고	담꼬
삼고	삼꼬
더듬지	더듬찌
얹다	언따
젊지	점찌
안기다	안기다
감기다	감기다
굶기다	굼기다
옮기다	옴기다
넓게	널께
핥다	할따
훑소	훌쏘
떫지	떨찌
갈등	갈뜽
발동	발똥
절도	절또
말살	말쌀
불소	불쏘
일시	일씨
갈증	갈쯩
물질	물찔
발전	발쩐
몰상식	몰쌍식
불세출	불쎄출
허허실실	허허실실
절절하다	절절하다
결결	결결
별별	별별
할 것을	할꺼슬
갈 데가	갈떼가
할 바를	할빠를
할 수는	할쑤는
할 적에	할쩌게
갈 곳	갈꼳
할 도리	할또리
만날 사람	만날싸람
할걸	할껄
할밖에	할빠께
할세라	할쎄라
할수록	할쑤록
할지라도	할찌라도
할지언정	할찌언정
할진대	할찐대
할 듯하다	할뜨타다
할 법하다	할뻐파다
할 성싶다	할썽십따
간 사람	간사람
가는 사람	가는사람
가던 사람	가던사람
입는다	임는다
입는데	임는데
입는지	임는지
문고리	문꼬리
눈동자	눈똥자
신바람	신빠람
산새	산쌔
손재주	손째주
길가	길까
물동이	물똥이
발바닥	발빠닥
굴속	굴쏙
술잔	술짠
바람결	바람껼
그믐달	그믐딸
아침밥	아침빱
잠자리	잠짜리
강가	강까
초승달	초승딸
등불	등뿔
창살	창쌀
강줄기	강쭐기
솜이불	솜니불
홑이불	혼니불
막일	망닐
삯일	상닐
맨입	맨닙
꽃잎	꼰닙
내복약	내봉냑
한여름	한녀름
남존여비	남존녀비
신여성	신녀성
색연필	생년필
직행열차	지캥녈차
늑막염	능망념
콩엿	콩녇
담요	담뇨
눈요기	눈뇨기
영업용	영엄뇽
식용유	시굥뉴
국민윤리	궁민뉼리
밤윷	밤뉻
들일	들릴
솔잎	솔립
설익다	설릭따
물약	물략
불여우	불려우
서울역	서울력
물엿	물렫
휘발유	휘발류
유들유들	유들류들
한 일	한닐
할 일	할릴
옷 입다	온닙따
잘 입다	잘립따
서른여섯	서른녀섣
스물여섯	스물려섣
삼 연대	삼년대
일 연대	일련대
먹은 엿	머근녇
먹을 엿	머글렫
육이오	유기오
팔일오	파리로
삼일절	사밀쩔
절약	저략
월요일	워료일
목요일	모교일
금요일	그묘일
콧날	콘날
아랫니	아랜니
툇마루	퇸마루
뱃머리	밴머리
베갯잇	베갠닏
깻잎	깬닙
나뭇잎	나문닙
도리깻열	도리깬녈
뒷윷	뒨뉻
뒷일	뒨닐
깻잎	깬닙
